# rubric-registry manifest — the versioned source of truth that maps each
# review artifact_type to its rubric (the prompt cascade that scores it) and
# its output_channel (the script that delivers the verdict).
#
# Read by scripts/lib/review-registry.sh; see scripts/lib/README.md for the
# artifact contract and field meanings. Data, not code — add a row to register
# a new artifact_type; do not fork the reviewer (issue #611).
#
# schema_version: 3
#
# Columns (tab-separated): artifact_type	rubric	output_channel
#   rubric         — ordered, comma-separated cascade of prompt files
#                    (repo-root-relative), applied in sequence.
#   output_channel — repo-root-relative script that delivers the verdict.
#
# Phase 1 registers pr_diff, resolving to today's PR-review behavior with no
# change: the triage -> deep-review -> synthesize cascade, delivered as GitHub
# inline review comments by post-pr-review.sh.
pr_diff	prompts/triage.md,prompts/deep-review.md,prompts/synthesize.md	scripts/post-pr-review.sh
# Phase 2 (#614) registers plan_json additively: an initiative plan.json is
# scored against the fixed adversarial/semantic plan rubric, and the verdict is
# delivered as machine-readable findings the planner consumes before apply-plan.sh
# materializes the epic/DAG — NOT a GitHub review (post-plan-findings.sh never
# calls post-pr-review.sh).
plan_json	prompts/plan-review.md	scripts/post-plan-findings.sh
# Phase 2 (#615) registers skill_candidate additively: a candidate skill edit
# (a prompt-skill diff or file) is scored by the same review brain against the
# skill rubric (Epic #581's strict-improvement eval criteria), and the verdict is
# delivered as a machine-readable pass/fail + numeric score the strict-improvement
# gate consumes — NOT a GitHub review (post-skill-score.sh never calls
# post-pr-review.sh).
skill_candidate	prompts/skill-review.md	scripts/post-skill-score.sh
# Phase 2 (#1091) registers the issue-type classifier's deep-tier specialist
# routing additively. The Tier-1 triage now emits a `type` label in {security,
# logic, performance, style}; the pr_diff cascade resolves the matching
# specialist deep-review prompt for its deep entry from these rows via
# scripts/lib/deep-specialist.sh — data-driven, not a switch in review-one-pr.sh
# (AGENTS.md: add a manifest row, do not fork the reviewer). The rubric column
# holds the single specialist prompt for the class; the output_channel stays the
# pr_diff channel (post-pr-review.sh) because these route the deep tier of a PR
# review, not a new artifact type. An ambiguous/absent label or a missing
# specialist prompt falls back to prompts/deep-review.md (deep-specialist.sh),
# so registering or removing a specialist can never dead-end the deep tier.
deep_specialist:security	prompts/deep-review-security.md	scripts/post-pr-review.sh
deep_specialist:logic	prompts/deep-review-logic.md	scripts/post-pr-review.sh
deep_specialist:performance	prompts/deep-review-performance.md	scripts/post-pr-review.sh
deep_specialist:style	prompts/deep-review-style.md	scripts/post-pr-review.sh
